,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,James Batemon,39,6,12,.500,5,8,.625,1,4,.250,11,11,1.000,0,5,5,3,0,0,4,2,24
1,Dameane Douglas,34,6,7,.857,6,6,1.000,0,1,.000,5,7,.714,3,7,10,1,1,0,1,3,17
2,Mattias Markusson,32,6,7,.857,6,7,.857,0,0,,0,2,.000,3,4,7,3,1,3,4,3,12
3,Jeffery McClendon,30,1,6,.167,0,5,.000,1,1,1.000,2,2,1.000,0,1,1,1,1,0,3,4,5
4,Zafir Williams,27,2,6,.333,1,3,.333,1,3,.333,0,0,,2,3,5,4,0,1,0,0,5
5,Joe Quintana,23,1,4,.250,0,1,.000,1,3,.333,2,2,1.000,0,0,0,3,1,0,1,2,5
6,Cameron Allen,6,0,3,.000,0,1,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0
7,Jordan Bell,3,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0
8,Erik Johansson,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Ivan Alipiev,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3
10,Donald Gipson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
