,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Andrew Kostecka,33,10,17,.588,9,13,.692,1,4,.250,2,3,.667,1,3,4,2,0,0,1,4,23
1,Chuck Champion,29,4,10,.400,2,4,.500,2,6,.333,0,0,,1,2,3,5,1,0,3,2,10
2,James Fives,26,1,6,.167,0,2,.000,1,4,.250,2,2,1.000,1,2,3,5,1,0,0,2,5
3,Isaiah Hart,22,2,8,.250,1,3,.333,1,5,.200,0,0,,1,3,4,6,0,0,2,3,5
4,KaVaughn Scott,20,1,2,.500,1,2,.500,0,0,,2,3,.667,1,0,1,0,0,2,1,2,4
5,Brent Holcombe,19,6,10,.600,6,9,.667,0,1,.000,0,1,.000,5,6,11,2,1,0,1,1,12
6,Kenny Jones,17,0,3,.000,0,0,,0,3,.000,0,0,,0,1,1,1,0,0,2,2,0
7,Jaylin Andrews,13,0,4,.000,0,2,.000,0,2,.000,2,2,1.000,0,2,2,1,3,0,2,1,2
8,Sam Norton,11,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0
9,Casmir Ochiaka,2,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
10,Jan Dornik,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
11,Brandon Bradsher,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Ethan Norton,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Luke Johnson,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
