,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tykei Greene,32,1,5,.200,0,2,.000,1,3,.333,2,2,1.000,0,2,2,2,0,0,3,2,5
1,Nehemiah Mack,30,1,5,.200,1,3,.333,0,2,.000,0,0,,0,1,1,4,0,0,2,1,2
2,Samir Stewart,28,1,4,.250,0,0,,1,4,.250,2,3,.667,0,3,3,3,0,0,0,3,5
3,Warren Williams,23,5,7,.714,5,7,.714,0,0,,3,6,.500,2,4,6,0,1,0,3,2,13
4,Christian Hinckson,17,3,6,.500,2,4,.500,1,2,.500,2,2,1.000,3,1,4,0,0,1,1,2,9
5,Ebube Ebube,29,8,14,.571,5,8,.625,3,6,.500,1,3,.333,4,1,5,0,2,0,1,0,20
6,Elijah Buchanan,13,1,1,1.000,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,1,2,2
7,Tyler Reynolds,8,1,4,.250,0,0,,1,4,.250,0,0,,0,0,0,0,0,0,0,0,3
8,Thomas Capuano,8,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
9,Samson Usilo,6,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,3,0
10,Ethan Lasko,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Daniel Schreier,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
