,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Markus Howard,38,6,17,.353,4,9,.444,2,8,.250,7,7,1.000,0,3,3,5,1,0,2,3,21
1,Sacar Anim,32,6,9,.667,5,7,.714,1,2,.500,1,1,1.000,3,3,6,0,1,0,1,2,14
2,Sam Hauser,30,4,10,.400,4,4,1.000,0,6,.000,0,0,,2,8,10,4,1,1,2,2,8
3,Joey Hauser,27,5,5,1.000,4,4,1.000,1,1,1.000,4,7,.571,0,6,6,2,1,0,3,3,15
4,Theo John,14,3,7,.429,3,7,.429,0,0,,0,2,.000,0,0,0,0,0,1,0,3,6
5,Joseph Chartouny,26,0,4,.000,0,0,,0,4,.000,0,0,,0,5,5,4,1,0,2,2,0
6,Ed Morrow,18,4,4,1.000,4,4,1.000,0,0,,1,2,.500,1,4,5,0,0,1,2,3,9
7,Brendan Bailey,7,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0
8,Matt Heldt,6,1,2,.500,1,2,.500,0,0,,1,2,.500,2,0,2,0,1,0,0,1,3
9,Jamal Cain,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0
