,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jon Elmore,34,7,16,.438,3,8,.375,4,8,.500,8,9,.889,0,5,5,5,2,0,1,2,26
1,Jarrod West,32,4,8,.500,2,3,.667,2,5,.400,1,1,1.000,0,1,1,1,2,0,0,4,11
2,C.J. Burks,31,6,13,.462,5,11,.455,1,2,.500,3,4,.750,2,4,6,3,3,0,3,2,16
3,Jannson Williams,26,1,5,.200,1,1,1.000,0,4,.000,3,4,.750,0,6,6,1,2,2,1,2,5
4,Iran Bennett,8,3,5,.600,3,4,.750,0,1,.000,0,0,,1,1,2,0,0,0,0,0,6
5,Rondale Watson,29,5,8,.625,5,8,.625,0,0,,2,2,1.000,4,3,7,0,1,0,0,3,12
6,Darius George,21,4,5,.800,4,4,1.000,0,1,.000,0,0,,0,2,2,0,0,2,1,4,8
7,Taevion Kinsey,12,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0
8,Christian Thieneman,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
9,Mike Beyers,2,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0
10,Ante Sustic,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Luke Thomas,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
