,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Anthony Cowan Jr.,37,6,11,.545,6,7,.857,0,4,.000,3,4,.750,0,2,2,0,1,0,5,3,15
1,Jalen Smith,30,4,11,.364,3,9,.333,1,2,.500,0,0,,4,2,6,0,0,1,1,2,9
2,Bruno Fernando,27,3,6,.500,3,6,.500,0,0,,3,4,.750,2,6,8,2,0,1,5,3,9
3,Eric Ayala,27,3,7,.429,3,3,1.000,0,4,.000,0,0,,0,3,3,1,0,0,0,0,6
4,Darryl Morsell,25,1,5,.200,1,3,.333,0,2,.000,4,4,1.000,1,3,4,1,2,0,4,2,6
5,Aaron Wiggins,21,5,11,.455,5,7,.714,0,4,.000,1,1,1.000,3,2,5,2,1,0,0,2,11
6,Serrel Smith Jr,17,1,4,.250,0,1,.000,1,3,.333,2,2,1.000,0,2,2,1,0,0,0,1,5
7,Ricky Lindo Jr.,9,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,3,0
8,Joshua Tomaic,5,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
9,Reese Mona,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
