,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Joe Sherburne,28,8,12,.667,6,9,.667,2,3,.667,0,0,,4,3,7,3,0,0,3,1,18
1,K.J. Jackson,22,5,8,.625,3,4,.750,2,4,.500,2,3,.667,1,4,5,3,3,0,1,3,14
2,Daniel Akin,19,4,5,.800,4,5,.800,0,0,,2,6,.333,2,3,5,0,2,0,1,2,10
3,R.J. Eytle-Rock,17,0,2,.000,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,1,0
4,Ricky Council II,10,1,6,.167,0,0,,1,6,.167,0,0,,0,1,1,0,0,0,1,0,3
5,Brandon Horvath,21,6,6,1.000,3,3,1.000,3,3,1.000,7,7,1.000,2,5,7,3,2,0,1,2,22
6,Jose Placer,21,4,5,.800,2,2,1.000,2,3,.667,0,0,,0,1,1,3,1,0,1,3,10
7,Arkel Lamar,20,2,5,.400,2,2,1.000,0,3,.000,0,0,,0,5,5,5,1,1,2,1,4
8,Jack Schwietz,16,4,6,.667,2,3,.667,2,3,.667,0,0,,0,3,3,2,2,1,1,1,10
9,Sam Schwietz,9,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4
10,Josh Rosario,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,2,2,2,1,0,1,1,3
11,Isaiah Rogers,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,2,0
12,Nolan Gerrity,5,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,2,1,0
