,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Josh Gantz,39,6,8,.750,4,5,.800,2,3,.667,2,2,1.000,2,3,5,1,2,0,1,4,16
1,Christian Lutete,33,3,13,.231,2,6,.333,1,7,.143,2,2,1.000,2,7,9,2,0,0,4,4,9
2,Obadiah Noel,29,5,8,.625,4,6,.667,1,2,.500,6,10,.600,0,1,1,3,0,2,3,2,17
3,Ryan Jones,25,4,5,.800,4,4,1.000,0,1,.000,2,4,.500,0,4,4,5,2,0,3,2,10
4,Joey Glynn,15,0,3,.000,0,3,.000,0,0,,0,0,,0,3,3,0,0,1,2,5,0
5,Alex Rivera,25,5,9,.556,2,3,.667,3,6,.500,0,0,,2,2,4,1,0,0,3,4,13
6,Bryce Daley,16,1,4,.250,1,4,.250,0,0,,0,0,,0,4,4,3,0,0,2,3,2
7,Darius Henderson,11,3,6,.500,3,5,.600,0,1,.000,1,1,1.000,0,2,2,0,0,0,3,3,7
8,Allin Blunt,7,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,1,2,1,0
9,Shawn Jones,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
