,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alijah Thomas,27,5,7,.714,5,6,.833,0,1,.000,5,9,.556,0,1,1,2,0,0,0,1,15
1,Nate Michael,27,3,8,.375,2,4,.500,1,4,.250,0,0,,0,2,2,3,0,0,4,3,7
2,Logan Kohrmann,26,4,7,.571,2,4,.500,2,3,.667,1,2,.500,0,1,1,1,0,0,1,0,11
3,Nolan Gerling,22,4,9,.444,4,9,.444,0,0,,0,2,.000,0,5,5,0,0,1,1,3,8
4,Giovanni Offard,20,2,6,.333,2,6,.333,0,0,,0,0,,1,4,5,3,3,0,3,1,4
5,Carrington Bass,23,3,4,.750,1,2,.500,2,2,1.000,0,0,,0,3,3,1,0,0,1,0,8
6,CaRondis Harris-Anderson,18,1,3,.333,1,3,.333,0,0,,0,0,,0,4,4,0,0,0,0,3,2
7,Jacob Donaldson,14,5,9,.556,2,4,.500,3,5,.600,0,0,,1,2,3,1,1,1,0,2,13
8,Troy Pedtke,12,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0
9,Rathen Carter,11,1,6,.167,1,5,.200,0,1,.000,0,2,.000,2,1,3,0,1,0,3,0,2
