,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tyler Harris,33,5,12,.417,1,2,.500,4,10,.400,10,11,.909,1,0,1,5,1,0,3,0,24
1,Jeremiah Martin,32,5,10,.500,3,6,.500,2,4,.500,2,3,.667,1,2,3,5,1,0,1,0,14
2,Alex Lomax,27,2,4,.500,1,1,1.000,1,3,.333,3,4,.750,0,3,3,2,1,0,2,2,8
3,Mike Parks Jr.,22,3,5,.600,3,5,.600,0,0,,0,0,,2,3,5,1,0,4,1,3,6
4,Raynere Thornton,15,2,4,.500,1,3,.333,1,1,1.000,0,1,.000,0,2,2,0,2,0,1,1,5
5,Kyvon Davenport,25,8,10,.800,5,5,1.000,3,5,.600,2,5,.400,1,7,8,1,0,2,0,5,21
6,Kareem Brewton Jr.,20,2,4,.500,2,3,.667,0,1,.000,0,0,,0,3,3,4,1,0,0,2,4
7,Antwann Jones,13,1,2,.500,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,4
8,Isaiah Maurice,12,2,5,.400,2,5,.400,0,0,,2,2,1.000,0,1,1,0,0,1,3,5,6
9,Evin Olds,1,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2
