,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Muhammad-Ali Abdur-Rahkman,31,6,8,.750,3,4,.750,3,4,.750,2,2,1.000,0,2,2,5,2,0,0,1,17
1,Charles Matthews,29,8,8,1.000,6,6,1.000,2,2,1.000,4,5,.800,2,8,10,4,2,3,2,2,22
2,Duncan Robinson,29,5,11,.455,1,2,.500,4,9,.444,0,0,,0,1,1,3,0,0,0,0,14
3,Eli Brooks,21,1,5,.200,0,0,,1,5,.200,2,2,1.000,0,2,2,2,1,1,1,1,5
4,Moritz Wagner,20,4,6,.667,3,4,.750,1,2,.500,1,2,.500,0,5,5,1,0,0,0,2,10
5,Jon Teske,14,3,3,1.000,3,3,1.000,0,0,,0,3,.000,1,3,4,0,0,1,0,1,6
6,Isaiah Livers,11,3,3,1.000,1,1,1.000,2,2,1.000,0,0,,0,1,1,0,0,1,1,1,8
7,Zavier Simpson,11,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,4,2,0,0,0,2
8,Jaaron Simmons,11,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0
9,Jordan Poole,9,3,5,.600,1,2,.500,2,3,.667,2,2,1.000,0,1,1,1,1,0,2,1,10
10,Austin Davis,7,2,3,.667,2,3,.667,0,0,,0,0,,3,2,5,0,0,0,0,2,4
11,Ibi Watson,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,2,1,0,1,0,2
12,Brent Hibbitts,3,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
