,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jayce Johnson,33,1,9,.111,1,7,.143,0,2,.000,3,6,.500,1,3,4,2,0,0,1,2,5
1,Antonio Green,32,6,16,.375,4,8,.500,2,8,.250,4,4,1.000,1,3,4,1,1,0,3,1,18
2,Karl Gamble,29,3,10,.300,3,8,.375,0,2,.000,0,3,.000,4,4,8,0,1,2,1,3,6
3,Reggie Scurry,24,6,9,.667,6,9,.667,0,0,,2,6,.333,4,3,7,0,0,1,4,3,14
4,Donovan Sims,21,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,1,1,2,0,0,1,3,2
5,Junior Farquhar,20,2,5,.400,2,5,.400,0,0,,0,0,,0,1,1,3,1,1,1,2,4
6,TJ Massenburg,17,1,3,.333,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,1,0,2
7,James Hawthorne,10,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0
8,Anthony Crump,10,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,2,2,0
9,Kydjana Lewis,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Chase Miller,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Lawrence Mosley,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Darnell Butler Jr,1,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
