,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Breein Tyree,34,1,5,.200,0,2,.000,1,3,.333,0,0,,0,3,3,3,0,1,1,3,3
1,Devontae Shuler,32,7,10,.700,4,6,.667,3,4,.750,2,2,1.000,0,2,2,3,1,0,1,1,19
2,Terence Davis,27,6,11,.545,5,10,.500,1,1,1.000,2,2,1.000,2,4,6,4,2,1,4,2,15
3,Blake Hinson,26,4,9,.444,3,6,.500,1,3,.333,0,1,.000,3,1,4,3,1,0,0,2,9
4,Bruce Stevens,23,3,6,.500,3,5,.600,0,1,.000,0,0,,1,6,7,0,0,0,1,2,6
5,Dominik Olejniczak,17,4,5,.800,4,5,.800,0,0,,1,1,1.000,0,1,1,1,1,0,0,3,9
6,KJ Buffen,17,1,2,.500,1,2,.500,0,0,,1,4,.250,1,2,3,0,0,1,0,0,3
7,D.C. Davis,11,1,4,.250,1,3,.333,0,1,.000,0,0,,2,0,2,1,0,0,0,1,2
8,Zach Naylor,8,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0
9,Luis Rodriguez,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2
10,Brian Halums,1,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1
