,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Dante Scott,22,4,11,.364,3,7,.429,1,4,.250,0,0,,0,1,1,1,1,0,0,0,9
1,Jordan Evans,20,0,6,.000,0,4,.000,0,2,.000,2,2,1.000,0,1,1,1,1,0,4,0,2
2,Torico Simmons,17,0,3,.000,0,2,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,2,0
3,Patrick Rucker,13,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0
4,Aleksa Koracin,12,1,2,.500,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,0,1,2
5,Emmanuel Ejeh,28,6,9,.667,6,9,.667,0,0,,2,4,.500,4,8,12,3,2,0,2,3,14
6,Tereke Eckwood,26,0,5,.000,0,4,.000,0,1,.000,1,2,.500,0,3,3,3,0,0,1,1,1
7,Lorenzo Hunt,21,2,3,.667,2,2,1.000,0,1,.000,0,2,.000,1,1,2,0,1,0,0,2,4
8,Kaleb Allison,18,4,10,.400,4,10,.400,0,0,,2,3,.667,1,2,3,0,0,0,1,4,10
9,Fritz Lucien,11,2,4,.500,2,4,.500,0,0,,1,1,1.000,1,0,1,1,2,0,1,3,5
10,Michael Green,7,1,4,.250,1,2,.500,0,2,.000,0,0,,0,0,0,0,0,0,0,3,2
11,Marcus Mitchell,4,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,2,1,2
12,Zachary Barnes,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
