,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Barnett,39,6,9,.667,2,3,.667,4,6,.667,3,3,1.000,0,2,2,1,2,1,3,3,19
1,Kassius Robertson,34,6,12,.500,2,4,.500,4,8,.500,7,8,.875,0,1,1,1,2,0,2,3,23
2,Kevin Puryear,33,2,6,.333,2,5,.400,0,1,.000,2,2,1.000,3,3,6,2,0,1,0,3,6
3,Jordan Geist,29,3,6,.500,2,4,.500,1,2,.500,3,5,.600,0,4,4,6,1,0,1,3,10
4,Jeremiah Tilmon,11,1,2,.500,1,2,.500,0,0,,0,2,.000,2,0,2,0,0,2,3,5,2
5,Jontay Porter,27,5,9,.556,0,2,.000,5,7,.714,4,4,1.000,1,6,7,1,0,4,2,5,19
6,Blake Harris,11,0,3,.000,0,3,.000,0,0,,0,0,,0,1,1,3,1,0,1,2,0
7,Reed Nikko,8,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,0,1,0,0,2,0
8,Terrence Phillips,6,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0
9,Cullen VanLeer,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
