,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Rob Whitfield,25,5,8,.625,0,1,.000,5,7,.714,0,0,,0,3,3,5,1,1,4,3,15
1,Marvin Nesbitt Jr.,24,1,2,.500,1,2,.500,0,0,,1,2,.500,3,5,8,6,4,0,1,3,3
2,Xavier Bishop,22,6,8,.750,4,4,1.000,2,4,.500,4,6,.667,0,2,2,1,0,0,3,1,18
3,Danny Dixon,20,5,6,.833,5,6,.833,0,0,,4,6,.667,2,8,10,0,0,2,3,1,14
4,Jordan Giles,20,3,3,1.000,2,2,1.000,1,1,1.000,1,1,1.000,0,3,3,1,1,0,6,3,8
5,Jamal Allen,23,5,10,.500,1,2,.500,4,8,.500,1,1,1.000,1,6,7,0,0,1,0,1,15
6,Brandon McKissic,23,5,11,.455,5,7,.714,0,4,.000,3,4,.750,1,1,2,2,3,0,4,0,13
7,Kaleb Roy,20,0,4,.000,0,3,.000,0,1,.000,4,5,.800,0,5,5,1,1,0,2,5,4
8,Aleer Leek,13,0,1,.000,0,0,,0,1,.000,2,2,1.000,0,3,3,1,0,0,1,2,2
9,Brandon Suggs,10,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,1,0,1,0,1,2
