,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jarred Dixon,35,7,18,.389,6,12,.500,1,6,.167,8,9,.889,3,1,4,2,2,0,0,1,23
1,Ryan Kreklow,34,1,6,.167,0,0,,1,6,.167,1,4,.250,0,3,3,4,0,0,1,3,4
2,Josh Webster,31,1,5,.200,1,3,.333,0,2,.000,0,0,,2,2,4,3,1,0,0,0,2
3,Kabir Mohammed,22,5,9,.556,5,8,.625,0,1,.000,3,3,1.000,3,5,8,0,0,2,0,3,13
4,Tulio Da Silva,19,4,8,.500,4,6,.667,0,2,.000,0,2,.000,1,3,4,0,2,0,0,4,8
5,Jared Ridder,21,2,8,.250,0,2,.000,2,6,.333,1,2,.500,1,2,3,0,0,1,1,0,7
6,Jan Wojcik,20,1,3,.333,0,0,,1,3,.333,0,0,,1,4,5,1,0,3,2,3,3
7,Keandre Cook,13,2,6,.333,1,3,.333,1,3,.333,1,2,.500,0,1,1,0,0,0,2,1,6
8,Darian Scott,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Ross Owens,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
