,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,George Kiernan,33,3,4,.750,2,3,.667,1,1,1.000,1,1,1.000,0,9,9,0,2,1,1,2,8
1,Evan Wieck,27,7,10,.700,7,10,.700,0,0,,4,6,.667,0,4,4,0,0,1,2,3,18
2,Hasan Abdullah,23,2,6,.333,2,4,.500,0,2,.000,0,1,.000,0,3,3,5,0,0,4,3,4
3,Ryan Pearson,9,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4
4,Dominick Antonelli,5,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
5,John Carter Jr.,34,2,5,.400,2,4,.500,0,1,.000,5,7,.714,0,7,7,1,0,0,4,3,9
6,Cam Davis,28,1,3,.333,0,0,,1,3,.333,4,4,1.000,0,2,2,1,2,1,1,2,7
7,Josiah Strong,17,2,5,.400,1,3,.333,1,2,.500,0,0,,1,3,4,1,0,0,1,0,5
8,Luke Loehr,14,1,3,.333,1,2,.500,0,1,.000,1,2,.500,1,1,2,1,0,0,1,1,3
9,Richard Njoku,6,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,0,1,1,1,2
10,Isaiah Burnett,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
