,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Shunn Buchanan,20,0,2,.000,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,0,0
1,Eli Chuha,15,4,6,.667,4,6,.667,0,0,,2,2,1.000,3,6,9,1,0,0,1,0,10
2,Clayton Henry,13,0,2,.000,0,0,,0,2,.000,0,0,,0,3,3,1,0,0,3,1,0
3,JoJo Zamora,11,3,6,.500,0,1,.000,3,5,.600,0,0,,0,1,1,0,0,0,0,1,9
4,C.J. Bobbitt,11,0,5,.000,0,2,.000,0,3,.000,0,0,,1,0,1,2,2,0,0,1,0
5,AJ Harris,19,4,7,.571,1,2,.500,3,5,.600,0,0,,0,1,1,4,2,0,2,0,11
6,Keyon Jones,17,7,12,.583,0,1,.000,7,11,.636,0,0,,1,2,3,2,0,0,0,2,21
7,Mohamed Thiam,15,3,9,.333,2,4,.500,1,5,.200,1,2,.500,3,2,5,0,1,0,0,1,8
8,Johnny McCants,14,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,3,0,1,0,3,0
9,Ivan Aurrecoechea,13,4,5,.800,4,5,.800,0,0,,2,2,1.000,2,1,3,1,0,0,1,1,10
10,Jabari Rice,12,1,4,.250,1,2,.500,0,2,.000,0,0,,0,2,2,3,0,0,0,1,2
11,Terrell Brown,12,0,2,.000,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,1,3,0
12,Robert Brown,11,4,4,1.000,4,4,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,10
13,Trevelin Queen,11,4,5,.800,3,3,1.000,1,2,.500,0,0,,2,2,4,0,1,0,0,1,9
14,Berrick JeanLouis,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
