,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Bryson Robinson,38,7,17,.412,4,5,.800,3,12,.250,3,4,.750,1,1,2,2,4,0,3,1,20
1,Damion Rosser,38,2,5,.400,2,4,.500,0,1,.000,0,0,,4,2,6,8,1,3,4,5,4
2,Jorge Rosa,26,4,14,.286,1,2,.500,3,12,.250,2,2,1.000,1,1,2,1,0,0,1,0,13
3,Scott Plaisance Jr.,15,2,7,.286,2,7,.286,0,0,,1,1,1.000,1,2,3,2,1,1,1,5,5
4,Gerrale Gates,2,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
5,Jahmel Myers,34,4,9,.444,4,8,.500,0,1,.000,6,6,1.000,2,9,11,3,1,0,1,4,14
6,Troy Green,32,5,11,.455,5,10,.500,0,1,.000,3,4,.750,2,4,6,4,0,0,5,4,13
7,Larry Robinson III,15,3,10,.300,2,4,.500,1,6,.167,0,0,,0,1,1,1,0,0,1,2,7
8,Amari Haynes,14,4,5,.800,4,5,.800,0,0,,1,2,.500,2,2,4,0,1,0,2,5,9
9,Tyren Harrison,11,2,3,.667,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,0,0,4
