,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,James Towns,36,2,9,.222,2,6,.333,0,3,.000,4,5,.800,0,3,3,3,0,0,2,2,8
1,Marvin Prochet,35,8,17,.471,3,6,.500,5,11,.455,2,4,.500,3,9,12,0,1,0,1,1,23
2,Chris Barton,34,4,12,.333,2,6,.333,2,6,.333,2,2,1.000,0,5,5,2,0,0,3,1,12
3,Keleaf Tate,33,0,6,.000,0,3,.000,0,3,.000,0,0,,0,3,3,2,1,0,0,1,0
4,Dominic Robb,29,4,9,.444,3,8,.375,1,1,1.000,4,4,1.000,2,4,6,1,0,3,1,3,13
5,Raheem Solomon,14,5,9,.556,3,3,1.000,2,6,.333,0,0,,1,1,2,1,1,0,1,1,12
6,Greg Kuakumensah,7,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0
7,Greg King,4,2,2,1.000,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,1,3,4
8,Marcus Hammond,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
9,Kierell Green,4,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0
