,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jeremiah Jefferson,38,6,17,.353,3,6,.500,3,11,.273,0,0,,0,0,0,1,0,0,3,1,15
1,Kevin Johnson,38,3,8,.375,2,5,.400,1,3,.333,0,0,,1,3,4,7,2,0,0,2,7
2,Gavin Peppers,31,4,10,.400,1,6,.167,3,4,.750,0,0,,1,4,5,4,0,0,1,2,11
3,Brandon Moore Jr.,11,2,3,.667,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,1,2,2,5
4,Daniel Regis,9,0,1,.000,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,1,5,0
5,Danny Garrick,28,6,13,.462,1,2,.500,5,11,.455,2,2,1.000,1,3,4,1,0,0,0,1,19
6,Ryghe Lyons,21,4,6,.667,4,6,.667,0,0,,0,0,,0,1,1,1,1,2,2,5,8
7,Elvis Harvey,16,1,3,.333,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,2,4,2
8,Jeremiah Buford,7,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0
9,Thomas Clement,1,0,0,,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2
