,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nic Thomas,45,7,17,.412,3,7,.429,4,10,.400,7,8,.875,1,5,6,2,1,0,3,3,25
1,Steven Whitley,40,7,17,.412,6,12,.500,1,5,.200,5,6,.833,1,8,9,1,2,0,4,2,20
2,Jordan Butler,37,2,7,.286,2,7,.286,0,0,,13,14,.929,5,4,9,1,0,5,4,5,17
3,Alex Long,15,4,5,.800,4,5,.800,0,0,,0,2,.000,0,1,1,1,0,3,2,5,8
4,C.J. Kelly,10,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,3,0
5,Derrik Jamerson Jr.,37,3,6,.500,2,3,.667,1,3,.333,0,0,,1,5,6,1,1,0,0,5,7
6,Mastadi Pitt,29,4,12,.333,3,7,.429,1,5,.200,8,10,.800,0,3,3,3,0,0,1,1,17
7,Armani Branch,29,0,1,.000,0,1,.000,0,0,,0,0,,0,8,8,0,0,0,1,3,0
8,Kyonze Chavis,5,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0
9,Chris Ford,3,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0
