,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kendall Stafford,38,6,13,.462,4,7,.571,2,6,.333,2,2,1.000,4,7,11,3,1,0,3,1,16
1,Tavon King,35,3,9,.333,3,6,.500,0,3,.000,10,13,.769,0,2,2,0,3,0,3,4,16
2,Jamari Blackmon,33,5,11,.455,3,5,.600,2,6,.333,10,10,1.000,0,1,1,3,1,0,0,2,22
3,Kendarius Smith,31,1,8,.125,1,3,.333,0,5,.000,0,2,.000,0,1,1,2,1,0,2,2,2
4,Emanuel Littles,21,2,6,.333,2,6,.333,0,0,,1,2,.500,5,4,9,2,0,1,0,4,5
5,Christian Agnew,21,4,11,.364,2,8,.250,2,3,.667,0,0,,0,2,2,0,1,0,3,0,10
6,Cantavio Dutreil,10,1,2,.500,1,2,.500,0,0,,0,0,,2,4,6,0,0,0,2,2,2
7,Cameron Diggs,10,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,1,5,2
8,Logan Windeler,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Aleksa Matic,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
