,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kenny Williams,37,3,8,.375,3,3,1.000,0,5,.000,3,5,.600,1,5,6,3,0,0,3,1,9
1,Coby White,36,9,16,.563,3,5,.600,6,11,.545,4,6,.667,0,6,6,5,2,0,5,4,28
2,Cameron Johnson,35,6,11,.545,0,3,.000,6,8,.750,1,2,.500,2,0,2,3,1,1,2,0,19
3,Luke Maye,31,4,10,.400,3,6,.500,1,4,.250,4,5,.800,2,8,10,3,0,1,2,4,13
4,Garrison Brooks,26,3,7,.429,3,7,.429,0,0,,0,1,.000,2,1,3,1,0,0,1,4,6
5,Nassir Little,17,1,7,.143,1,4,.250,0,3,.000,3,3,1.000,1,5,6,0,1,0,0,1,5
6,Brandon Robinson,7,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,1,0,0,0,0,0
7,Seventh Woods,7,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,2,0
8,Brandon Huffman,2,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,1,0,1,0,0,0
9,Sterling Manley,1,0,0,,0,0,,0,0,,1,2,.500,0,0,0,1,0,0,0,0,1
10,Andrew Platek,1,0,1,.000,0,0,,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0
