,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Devon Baker,36,6,12,.500,3,7,.429,3,5,.600,1,2,.500,0,2,2,2,1,0,3,1,16
1,Coty Jude,31,1,3,.333,0,0,,1,3,.333,0,0,,0,3,3,2,2,0,1,2,3
2,Donovan Gilmore,17,3,7,.429,2,6,.333,1,1,1.000,1,1,1.000,2,3,5,0,1,1,1,3,8
3,Cress Worthy,17,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,2,0,2
4,Jalen Seegars,12,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,0,0,0,2,0,0
5,LJ Thorpe,35,4,10,.400,4,8,.500,0,2,.000,5,7,.714,1,2,3,3,1,0,1,3,13
6,Tajion Jones,27,6,10,.600,5,7,.714,1,3,.333,0,0,,2,5,7,1,0,0,1,0,13
7,Luke Lawson,11,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,1,1,0,0
8,Jeremy Peck,9,0,1,.000,0,1,.000,0,0,,0,2,.000,0,1,1,0,1,0,2,4,0
9,Stephen Edoka,5,0,3,.000,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0
