,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Milik Gantz,34,6,9,.667,6,9,.667,0,0,,0,2,.000,1,3,4,2,1,0,2,2,12
1,Quavius Copeland,32,8,10,.800,2,2,1.000,6,8,.750,0,0,,0,1,1,3,0,0,1,1,22
2,Terry Harris,27,9,14,.643,2,3,.667,7,11,.636,0,0,,1,3,4,2,4,0,0,1,25
3,Kameron Langley,22,2,3,.667,2,3,.667,0,0,,0,0,,0,1,1,10,2,0,2,1,4
4,Ibrahim Sylla,17,3,4,.750,3,4,.750,0,0,,3,4,.750,0,6,6,0,0,1,3,3,9
5,Aaren Edmead,18,3,7,.429,3,6,.500,0,1,.000,1,1,1.000,0,1,1,2,0,0,2,2,7
6,D'Andre Johnson,15,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,0,0,0,1,3,0
7,Ronald Jackson,11,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0
8,Tyrone Lyons,10,3,4,.750,2,3,.667,1,1,1.000,3,3,1.000,0,3,3,0,0,0,0,4,10
9,Amari Hamilton,9,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
10,Andre Jackson,4,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,2
11,Webster Filmore,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
