,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Randy Miller Jr.,35,5,11,.455,1,4,.250,4,7,.571,10,11,.909,0,3,3,2,0,0,1,1,24
1,Zacarry Douglas,27,4,5,.800,3,3,1.000,1,2,.500,0,1,.000,1,1,2,1,0,0,3,5,9
2,Larry McKnight Jr.,25,1,3,.333,1,2,.500,0,1,.000,1,2,.500,1,1,2,0,0,0,0,1,3
3,Jordan Perkins,22,6,8,.750,5,6,.833,1,2,.500,2,2,1.000,1,1,2,5,1,0,3,2,15
4,Raasean Davis,20,5,8,.625,5,8,.625,0,0,,0,0,,1,5,6,0,0,0,0,4,10
5,Jibri Blount,26,9,14,.643,6,8,.750,3,6,.500,10,13,.769,3,4,7,1,0,0,5,2,31
6,Nicolas Fennell,20,0,0,,0,0,,0,0,,1,2,.500,2,1,3,4,1,0,1,2,1
7,Julian Walters,14,1,3,.333,0,1,.000,1,2,.500,0,0,,0,5,5,4,1,0,2,4,3
8,Reggie Gardner Jr.,7,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,2
9,Rashann London,4,0,0,,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0
