,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marvin Smith,32,4,9,.444,2,5,.400,2,4,.500,8,9,.889,1,2,3,0,0,1,0,2,18
1,Jordy Kuiper,32,4,7,.571,2,3,.667,2,4,.500,0,0,,2,1,3,1,0,0,0,1,10
2,Francis Alonso,30,4,10,.400,2,4,.500,2,6,.333,2,2,1.000,1,3,4,4,2,0,2,2,12
3,Demetrius Troy,26,5,8,.625,4,6,.667,1,2,.500,1,1,1.000,0,4,4,5,1,0,4,1,12
4,James Dickey,24,5,7,.714,5,7,.714,0,0,,1,2,.500,3,9,12,1,1,0,4,2,11
5,Kyrin Galloway,22,2,4,.500,1,1,1.000,1,3,.333,0,0,,2,5,7,1,0,0,3,0,5
6,Isaiah Miller,13,2,4,.500,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,1,5,4
7,Justin Jordan,11,2,4,.500,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,1,1,4
8,Kylia Sykes,7,1,2,.500,1,1,1.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2
9,Garrett Collins,3,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
