,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Torin Dorn,26,6,13,.462,6,12,.500,0,1,.000,0,2,.000,1,3,4,1,4,0,1,2,12
1,C.J. Bryce,24,3,7,.429,2,5,.400,1,2,.500,0,0,,0,3,3,0,0,2,2,0,7
2,Devon Daniels,23,8,12,.667,5,7,.714,3,5,.600,2,3,.667,0,4,4,2,0,0,0,3,21
3,Wyatt Walker,23,3,6,.500,3,6,.500,0,0,,2,2,1.000,2,3,5,2,0,0,3,4,8
4,Markell Johnson,17,3,5,.600,2,2,1.000,1,3,.333,1,2,.500,0,0,0,4,1,0,1,2,8
5,Blake Harris,21,5,7,.714,3,5,.600,2,2,1.000,3,4,.750,0,0,0,5,3,0,1,1,15
6,Jericole Hellems,20,5,7,.714,3,3,1.000,2,4,.500,4,7,.571,1,2,3,0,2,1,0,2,16
7,Eric Lockett,18,1,3,.333,1,3,.333,0,0,,0,0,,1,2,3,3,1,0,1,1,2
8,DJ Funderburk,14,2,3,.667,1,2,.500,1,1,1.000,3,4,.750,1,4,5,1,0,0,3,3,8
9,Braxton Beverly,14,1,6,.167,0,1,.000,1,5,.200,0,0,,0,0,0,2,2,0,1,4,3
