,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Garrett Sams,29,6,17,.353,5,9,.556,1,8,.125,3,4,.750,2,0,2,1,1,0,2,2,16
1,Noah Horchler,25,5,9,.556,5,7,.714,0,2,.000,0,3,.000,0,10,10,0,0,2,3,3,10
2,Ivan Gandia-Rosa,25,3,10,.300,3,6,.500,0,4,.000,1,1,1.000,1,0,1,7,1,0,1,5,7
3,J.T. Escobar,22,2,5,.400,1,2,.500,1,3,.333,0,0,,0,1,1,0,1,0,2,2,5
4,Wajid Aminu,11,3,4,.750,3,4,.750,0,0,,2,2,1.000,0,2,2,0,0,1,1,5,8
5,Ezekiel Balogun,17,4,5,.800,2,3,.667,2,2,1.000,0,2,.000,3,2,5,0,1,2,2,4,10
6,Carter Hendricksen,17,0,3,.000,0,0,,0,3,.000,3,4,.750,2,4,6,0,0,0,0,0,3
7,Trip Day,16,2,7,.286,1,3,.333,1,4,.250,3,4,.750,1,4,5,1,3,0,1,3,8
8,Brian Coffey II,15,1,2,.500,1,2,.500,0,0,,1,2,.500,0,0,0,3,1,0,2,3,3
9,Cam Copeland,12,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,2,2
10,Ryan Burkhardt,11,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,1,1,0,0,0
