,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jonathan Andre,26,8,13,.615,6,9,.667,2,4,.500,2,6,.333,5,9,14,2,2,2,0,3,20
1,Ted McCree,25,5,8,.625,3,3,1.000,2,5,.400,2,2,1.000,0,0,0,1,0,0,0,0,14
2,Davon Bolton,24,2,8,.250,1,5,.200,1,3,.333,2,4,.500,0,2,2,4,0,0,3,3,7
3,Cameron Shelton,22,5,10,.500,5,7,.714,0,3,.000,5,5,1.000,0,4,4,4,1,0,1,0,15
4,Aziz Seck,12,0,0,,0,0,,0,0,,0,1,.000,0,1,1,0,0,1,2,3,0
5,Brooks DeBisschop,25,6,11,.545,6,10,.600,0,1,.000,0,0,,6,2,8,0,2,0,1,1,12
6,Luke Avdalovic,18,3,5,.600,0,1,.000,3,4,.750,0,1,.000,0,1,1,2,2,0,0,0,9
7,Chris Bowling,17,2,5,.400,1,2,.500,1,3,.333,2,2,1.000,1,3,4,0,0,0,2,3,7
8,Carlos Hines,16,4,13,.308,3,7,.429,1,6,.167,1,2,.500,0,0,0,1,3,0,1,5,10
9,Nik Mains,15,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,0,1,1,3
