,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Isaiah Brown,39,6,14,.429,6,9,.667,0,5,.000,3,5,.600,0,5,5,2,1,2,2,1,15
1,AJ Green,35,6,17,.353,5,9,.556,1,8,.125,4,4,1.000,0,5,5,1,1,2,5,4,17
2,Trae Berhow,28,1,5,.200,1,2,.500,0,3,.000,5,7,.714,0,6,6,0,0,0,2,3,7
3,Wyatt Lohaus,27,1,4,.250,1,2,.500,0,2,.000,2,2,1.000,0,2,2,0,0,0,1,3,4
4,Luke McDonnell,16,2,3,.667,2,3,.667,0,0,,0,0,,2,2,4,1,0,0,0,3,4
5,Tywhon Pickford,24,3,6,.500,3,6,.500,0,0,,1,2,.500,1,2,3,3,0,1,0,1,7
6,Spencer Haldeman,16,2,4,.500,0,1,.000,2,3,.667,3,5,.600,1,2,3,0,2,0,0,5,9
7,Austin Phyfe,7,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,3,2
8,Miles Wentzien,5,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0
9,Shandon Goldman,2,0,0,,0,0,,0,0,,0,2,.000,0,0,0,0,0,1,0,0,0
10,Justin Dahl,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
