,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jalen Tate,36,4,9,.444,4,6,.667,0,3,.000,8,12,.667,2,4,6,3,0,0,0,3,16
1,Tyler Sharpe,36,4,11,.364,0,2,.000,4,9,.444,3,5,.600,1,1,2,3,4,0,0,3,15
2,Drew McDonald,35,8,12,.667,7,9,.778,1,3,.333,14,17,.824,2,10,12,3,1,0,2,1,31
3,Dantez Walton,30,3,9,.333,0,2,.000,3,7,.429,2,2,1.000,3,2,5,3,1,3,1,4,11
4,Zaynah Robinson,29,2,6,.333,1,1,1.000,1,5,.200,0,0,,0,0,0,6,2,0,1,3,5
5,Trevon Faulkner,11,2,3,.667,1,1,1.000,1,2,.500,1,3,.333,0,1,1,1,1,0,0,1,6
6,Chris Vogt,9,1,2,.500,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,1,0,4,3
7,Bryant Mocaby,5,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0
8,Silas Adheke,3,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2
9,Paul Djoko,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Adrian Nelson,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
