,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ishmael Lane,37,7,18,.389,7,16,.438,0,2,.000,4,5,.800,9,10,19,3,0,3,2,3,18
1,Malik Metoyer,37,1,8,.125,1,5,.200,0,3,.000,9,9,1.000,2,4,6,0,0,1,2,2,11
2,Laterrance Reed,26,5,14,.357,2,5,.400,3,9,.333,0,0,,1,2,3,1,0,0,2,1,13
3,John Norvel,18,0,4,.000,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0
4,DeAndre Love,17,1,6,.167,1,4,.250,0,2,.000,2,3,.667,1,0,1,0,1,0,0,2,4
5,C.J. Jones,22,3,6,.500,3,4,.750,0,2,.000,2,3,.667,0,3,3,3,0,0,1,4,8
6,Vonte Ott,20,2,5,.400,1,3,.333,1,2,.500,0,0,,2,1,3,0,0,1,1,3,5
7,Brandon Hutton,11,1,4,.250,1,3,.333,0,1,.000,0,0,,0,1,1,1,3,0,0,3,2
8,Alex Comanita,3,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2
9,Larry Owens,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
10,Jacob Guest,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Dalin Williams,3,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,1,1,0
