,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Temple Gibbs,27,2,12,.167,1,4,.250,1,8,.125,4,4,1.000,0,4,4,3,0,0,2,4,9
1,Rex Pflueger,27,1,6,.167,1,5,.200,0,1,.000,3,3,1.000,2,2,4,1,1,1,4,2,5
2,D.J. Harvey,24,2,5,.400,2,4,.500,0,1,.000,6,6,1.000,1,5,6,1,0,0,0,3,10
3,John Mooney,17,5,9,.556,5,8,.625,0,1,.000,0,0,,5,3,8,1,0,0,2,1,10
4,Robby Carmody,14,3,5,.600,3,4,.750,0,1,.000,5,6,.833,2,2,4,0,2,0,3,3,11
5,Dane Goodwin,20,3,10,.300,2,5,.400,1,5,.200,3,3,1.000,1,3,4,0,0,0,1,0,10
6,Nate Laszewski,19,3,7,.429,2,4,.500,1,3,.333,5,6,.833,2,7,9,0,0,0,2,3,12
7,Prentiss Hubb,19,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,1,1,2,1,0,0,4,5
8,Juwan Durham,14,1,3,.333,1,3,.333,0,0,,4,4,1.000,1,2,3,1,0,6,0,1,6
9,Elijah Burns,12,0,2,.000,0,2,.000,0,0,,6,6,1.000,4,3,7,0,0,0,2,0,6
10,Nikola Djogo,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
11,Liam Nelligan,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
