,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jaevin Cumberland,40,2,9,.222,0,2,.000,2,7,.286,2,2,1.000,0,1,1,4,0,0,1,2,8
1,Jordan Nobles,38,5,9,.556,3,5,.600,2,4,.500,2,3,.667,1,6,7,3,2,2,1,5,14
2,James Beck,35,2,5,.400,2,5,.400,0,0,,2,4,.500,1,3,4,0,0,1,3,3,6
3,Brailen Neely,31,2,8,.250,2,7,.286,0,1,.000,2,4,.500,0,2,2,7,2,0,2,1,6
4,Xavier Hill-Mais,20,6,16,.375,5,13,.385,1,3,.333,4,5,.800,2,2,4,1,1,2,3,5,17
5,Karmari Newman,26,5,13,.385,0,1,.000,5,12,.417,3,4,.750,0,0,0,2,0,0,1,4,18
6,Brad Brechting,16,2,5,.400,2,5,.400,0,0,,2,2,1.000,2,5,7,0,0,1,1,1,6
7,Braden Norris,14,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,2,2
8,Tray Maddox Jr.,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
9,Stan Scott,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0
