,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Andre Wesson,34,6,10,.600,4,5,.800,2,5,.400,2,2,1.000,0,4,4,2,0,0,1,2,16
1,C.J. Jackson,33,3,8,.375,1,5,.200,2,3,.667,3,4,.750,1,4,5,4,1,0,2,3,11
2,Keyshawn Woods,29,0,5,.000,0,5,.000,0,0,,0,0,,1,4,5,2,1,0,3,3,0
3,Kyle Young,23,4,5,.800,4,5,.800,0,0,,2,2,1.000,4,4,8,3,2,1,1,4,10
4,Kaleb Wesson,17,5,10,.500,5,9,.556,0,1,.000,5,8,.625,2,4,6,1,1,0,2,4,15
5,Duane Washington Jr.,22,4,11,.364,2,6,.333,2,5,.400,0,0,,1,2,3,3,0,0,1,3,10
6,Musa Jallow,19,4,4,1.000,3,3,1.000,1,1,1.000,2,2,1.000,2,2,4,0,0,0,0,5,11
7,Jaedon Ledee,13,1,3,.333,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,4
8,Justin Ahrens,6,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0
9,Joey Lane,3,0,1,.000,0,0,,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0
10,Danny Hummer,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
