,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kristian Doolittle,32,5,8,.625,5,8,.625,0,0,,5,6,.833,1,8,9,3,0,0,2,2,15
1,Jamal Bieniemy,31,5,6,.833,1,1,1.000,4,5,.800,8,10,.800,0,3,3,6,1,1,3,3,22
2,Brady Manek,29,4,9,.444,3,5,.600,1,4,.250,5,5,1.000,1,5,6,2,2,2,2,3,14
3,Christian James,22,2,4,.500,0,0,,2,4,.500,1,2,.500,0,1,1,1,1,0,1,3,7
4,Rashard Odomes,22,2,3,.667,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,2,1,4
5,Aaron Calixte,32,8,11,.727,5,6,.833,3,5,.600,3,4,.750,0,1,1,2,1,0,1,0,22
6,Jamuni McNeace,14,1,3,.333,1,3,.333,0,0,,2,2,1.000,0,2,2,1,1,0,1,5,4
7,Miles Reynolds,13,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,1,1,0,1,0,2,0,2
8,Matt Freeman,4,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,2,1,0
9,Patrick Geha,1,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
