,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brandon McGhee,33,0,1,.000,0,0,,0,1,.000,0,0,,4,4,8,3,3,1,1,1,0
1,Jahlil Tripp,31,6,7,.857,3,3,1.000,3,4,.750,1,2,.500,2,6,8,3,1,0,3,2,16
2,Anthony Townes,30,6,8,.750,6,8,.750,0,0,,2,4,.500,3,5,8,0,1,0,0,4,14
3,Ajare Sanni,29,5,13,.385,3,8,.375,2,5,.400,3,3,1.000,0,0,0,3,0,1,1,2,15
4,Lafayette Dorsey,24,6,11,.545,5,6,.833,1,5,.200,6,6,1.000,0,3,3,2,1,0,2,3,19
5,Roberto Gallinat,19,4,10,.400,1,6,.167,3,4,.750,2,3,.667,0,1,1,0,1,1,1,2,13
6,Zach Cameron,10,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,2,1,2
7,Jeremiah Bailey,9,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
8,Khy Kabellis,6,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,2,0,0,1,2,3
9,Kendall Small,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0
10,Jahbril Price-Noel,4,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0
