,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jared Mccrillis,36,4,13,.308,4,11,.364,0,2,.000,2,4,.500,1,3,4,1,2,2,3,2,10
1,Tyler Rose,31,4,6,.667,3,4,.750,1,2,.500,2,3,.667,1,6,7,3,2,0,10,1,11
2,Rodney Shoemo,28,4,7,.571,3,5,.600,1,2,.500,0,0,,0,1,1,2,0,0,4,0,9
3,Ian Johnson,26,7,17,.412,7,13,.538,0,4,.000,2,3,.667,3,2,5,4,1,0,3,3,16
4,Dakota Pratt,26,3,9,.333,3,8,.375,0,1,.000,0,0,,2,5,7,1,0,2,2,4,6
5,Adam Poole,22,1,3,.333,0,1,.000,1,2,.500,0,0,,1,2,3,3,2,0,3,4,3
6,Jeff Ludka,13,1,1,1.000,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2
7,Chandler Fitzgerald,11,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,0,0,0,1,2,0,1,3,2
8,James Shodimu,5,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,3,1,0
9,Ryan Snow,2,0,1,.000,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
