,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Josh McSwiggan,34,2,7,.286,2,4,.500,0,3,.000,4,4,1.000,1,3,4,1,0,0,1,0,8
1,JoJo Walker,33,3,7,.429,1,1,1.000,2,6,.333,2,2,1.000,1,1,2,3,0,0,3,2,10
2,Marcus Shaver Jr.,27,4,10,.400,3,7,.429,1,3,.333,0,0,,1,4,5,0,0,0,4,2,9
3,Theo Akwuba,25,1,4,.250,1,4,.250,0,0,,0,2,.000,3,4,7,0,0,1,0,4,2
4,Tahirou Diabate,14,4,5,.800,4,5,.800,0,0,,0,1,.000,1,2,3,0,1,0,2,3,8
5,Franklin Porter,26,3,8,.375,1,3,.333,2,5,.400,6,7,.857,0,1,1,1,1,0,2,2,14
6,Crisshawn Clark,12,2,7,.286,1,3,.333,1,4,.250,0,0,,0,3,3,0,1,0,1,0,5
7,Jacob Tryon,12,0,3,.000,0,1,.000,0,2,.000,0,0,,0,3,3,1,0,0,1,1,0
8,Hugh Hogland,9,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,0,2,3,0
9,Xavier Hallinan,8,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0
