,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Gerard Andrus,39,7,13,.538,7,13,.538,0,0,,0,2,.000,6,3,9,1,1,0,2,3,14
1,Taishaun Johnson,36,3,7,.429,3,6,.500,0,1,.000,5,10,.500,0,3,3,3,0,0,2,1,11
2,Gary Blackston,32,7,15,.467,5,9,.556,2,6,.333,2,4,.500,1,5,6,3,2,0,5,3,18
3,Iwin Ellis,16,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,2,1,3,0,1,0,0,5,4
4,Darius Williams,10,5,7,.714,0,2,.000,5,5,1.000,1,3,.333,0,0,0,0,0,0,0,2,16
5,Dennis Jones,24,1,6,.167,1,5,.200,0,1,.000,1,2,.500,1,1,2,5,1,0,0,2,3
6,Chancellor Ellis,22,4,9,.444,0,0,,4,9,.444,0,0,,1,1,2,2,0,0,1,3,12
7,Leon Sneed,10,0,2,.000,0,2,.000,0,0,,2,2,1.000,0,0,0,0,2,0,0,1,2
8,Antione Lister,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
9,Kevonte Corley,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,1,0,2,0
10,Tyler Singleton,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
11,Faite Williams,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
