,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Myles Stephens,37,9,17,.529,7,13,.538,2,4,.500,0,0,,2,10,12,1,1,0,4,2,20
1,Amir Bell,36,5,10,.500,3,6,.500,2,4,.500,3,4,.750,2,1,3,3,1,1,1,3,15
2,Devin Cannady,35,2,8,.250,1,3,.333,1,5,.200,3,3,1.000,2,5,7,1,1,0,1,3,8
3,Sebastian Much,22,3,8,.375,3,7,.429,0,1,.000,0,0,,1,3,4,0,2,0,2,2,6
4,Alec Brennan,13,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,2,0,0,2,3,2
5,Aaron Young,25,1,5,.200,0,0,,1,5,.200,2,2,1.000,0,0,0,1,1,0,1,2,5
6,Will Gladson,9,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,3,0
7,Mike LeBlanc,8,1,3,.333,0,0,,1,3,.333,1,2,.500,0,1,1,0,0,0,1,1,4
8,Jerome Desrosiers,6,0,1,.000,0,0,,0,1,.000,3,4,.750,2,0,2,0,0,0,1,1,3
9,Noah Bramlage,2,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2
10,Ryan Schwieger,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
11,Elijah Barnes,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
12,Richmond Aririguzoh,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
13,Vittorio Reynoso-Avila,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
