,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Carlik Jones,34,6,11,.545,5,10,.500,1,1,1.000,5,8,.625,0,3,3,5,0,0,2,1,18
1,Ed Polite Jr.,32,6,10,.600,3,6,.500,3,4,.750,1,1,1.000,2,8,10,1,2,1,3,4,16
2,Travis Fields Jr.,32,3,6,.500,2,5,.400,1,1,1.000,1,2,.500,2,0,2,3,2,0,3,3,8
3,Caleb Tanner,31,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,0,0,0,0,0,3,1,8
4,Mawdo Sallah,20,1,3,.333,1,3,.333,0,0,,0,0,,0,2,2,0,0,0,0,3,2
5,Donald Hicks,18,2,4,.500,0,0,,2,4,.500,0,0,,0,1,1,1,2,0,0,2,6
6,Devonnte Holland,17,2,7,.286,2,6,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,2,4
7,Leroy Butts IV,11,2,5,.400,2,3,.667,0,2,.000,0,0,,0,1,1,0,1,0,1,1,4
8,Devin Hutchinson,3,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0
9,Josiah Jeffers,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0
10,John Caldwell,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
