,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jacob Gilyard,36,3,9,.333,1,2,.500,2,7,.286,4,4,1.000,1,3,4,3,4,0,1,1,12
1,Nathan Cayo,34,5,7,.714,5,7,.714,0,0,,8,10,.800,5,2,7,3,0,2,1,2,18
2,Jake Wojcik,29,4,9,.444,0,0,,4,9,.444,0,0,,1,7,8,0,0,0,1,3,12
3,Grant Golden,27,5,8,.625,5,8,.625,0,0,,7,9,.778,0,6,6,4,0,2,3,3,17
4,Andre Gustavson,23,3,3,1.000,1,1,1.000,2,2,1.000,0,0,,0,1,1,3,0,1,2,4,8
5,Julius Johnson,17,1,2,.500,0,0,,1,2,.500,1,2,.500,0,2,2,4,0,0,0,1,4
6,Noah Yates,17,0,3,.000,0,1,.000,0,2,.000,0,0,,0,3,3,0,1,2,0,1,0
7,Matt Grace,13,2,2,1.000,2,2,1.000,0,0,,0,0,,0,3,3,0,0,1,0,1,4
8,Souleymane Koureissi,2,0,0,,0,0,,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1
9,Keith Oddo,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0
