,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Geo Baker,32,3,9,.333,1,5,.200,2,4,.500,2,2,1.000,0,1,1,7,1,2,2,1,10
1,Eugene Omoruyi,27,6,12,.500,4,9,.444,2,3,.667,0,0,,4,6,10,4,0,0,5,3,14
2,Peter Kiss,25,7,9,.778,4,5,.800,3,4,.750,0,0,,0,2,2,4,0,0,0,0,17
3,Issa Thiam,21,3,6,.500,0,2,.000,3,4,.750,2,3,.667,3,1,4,0,0,0,4,2,11
4,Shaquille Doorson,17,2,2,1.000,2,2,1.000,0,0,,0,1,.000,2,4,6,0,0,3,0,2,4
5,Montez Mathis,21,3,11,.273,2,8,.250,1,3,.333,3,7,.429,2,3,5,2,1,0,4,1,10
6,Myles Johnson,20,2,4,.500,2,4,.500,0,0,,0,0,,2,3,5,3,2,3,1,1,4
7,Ron Harper Jr.,17,7,8,.875,6,7,.857,1,1,1.000,0,2,.000,1,4,5,2,0,2,0,4,15
8,Caleb McConnell,9,0,1,.000,0,0,,0,1,.000,1,2,.500,0,0,0,0,1,0,1,0,1
9,Mamadou Doucoure,6,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,2,0,1,2
10,Shaq Carter,4,1,2,.500,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,0,0,2
11,Joey Downes,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
