,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marcus Graves,35,7,20,.350,4,12,.333,3,8,.375,1,2,.500,1,2,3,5,0,0,3,4,18
1,Izayah Mauriohooho-Le'afa,33,6,18,.333,2,3,.667,4,15,.267,0,0,,0,1,1,3,1,0,3,2,16
2,Joshua Patton,22,3,3,1.000,3,3,1.000,0,0,,3,4,.750,1,3,4,0,0,1,4,5,9
3,Osi Nwachukwu,21,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,2,1,0,0,4,2
4,Calvin Martin,17,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,2,0,1,5,6
5,Bryce Fowler,29,3,7,.429,2,4,.500,1,3,.333,0,0,,1,6,7,4,1,0,1,5,7
6,James Bridges,15,3,4,.750,1,1,1.000,2,3,.667,0,0,,0,1,1,0,0,1,0,1,8
7,Ethan Esposito,14,1,4,.250,1,3,.333,0,1,.000,2,3,.667,2,2,4,0,1,1,3,3,4
8,Chibueze Jacobs,13,0,1,.000,0,1,.000,0,0,,0,0,,2,3,5,0,0,0,2,2,0
9,Kevin Hicks,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
