,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Keith Braxton,37,4,13,.308,4,10,.400,0,3,.000,8,8,1.000,3,11,14,4,1,0,1,1,16
1,Jamaal King,33,6,17,.353,6,14,.429,0,3,.000,4,5,.800,1,4,5,5,0,0,4,4,16
2,Andre Wolford,31,3,11,.273,1,3,.333,2,8,.250,3,3,1.000,0,3,3,0,0,0,1,2,11
3,Luidgy Laporal,13,1,3,.333,1,3,.333,0,0,,0,0,,2,1,3,0,0,1,2,1,2
4,Myles Thompson,11,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
5,Isaiah Blackmon,31,8,10,.800,4,4,1.000,4,6,.667,2,4,.500,2,1,3,0,1,0,1,4,22
6,Mark Flagg,20,3,4,.750,3,3,1.000,0,1,.000,1,1,1.000,1,3,4,1,1,1,0,5,7
7,Randall Gaskins Jr.,16,2,2,1.000,2,2,1.000,0,0,,1,2,.500,1,0,1,0,1,0,0,1,5
8,Deivydas Kuzavas,7,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,0,0,4,3
9,Ramiir Dixon-Conover,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
