,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan Ford,32,3,12,.250,3,11,.273,0,1,.000,2,2,1.000,0,2,2,0,0,0,3,1,8
1,Tanner Krebs,30,1,5,.200,1,4,.250,0,1,.000,2,2,1.000,0,1,1,0,1,0,1,0,4
2,Tommy Kuhse,26,3,8,.375,3,7,.429,0,1,.000,6,7,.857,0,4,4,0,1,0,4,2,12
3,Malik Fitts,22,5,12,.417,5,10,.500,0,2,.000,1,2,.500,3,3,6,0,0,0,2,2,11
4,Jordan Hunter,12,1,1,1.000,1,1,1.000,0,0,,0,0,,3,1,4,0,0,0,0,4,2
5,Matthias Tass,28,0,5,.000,0,4,.000,0,1,.000,2,3,.667,1,0,1,0,0,0,0,2,2
6,Dan Fotu,16,0,3,.000,0,2,.000,0,1,.000,0,1,.000,0,3,3,0,0,1,0,1,0
7,Elijah Thomas,12,1,4,.250,1,2,.500,0,2,.000,0,0,,1,0,1,0,0,0,0,2,2
8,Jock Perry,11,0,5,.000,0,3,.000,0,2,.000,2,2,1.000,0,3,3,0,1,0,0,0,2
9,Alex Mudronja,9,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,0,0
10,Quinn Clinton,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3
