,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Nick Griffin,26,4,8,.500,3,5,.600,1,3,.333,0,0,,0,1,1,1,0,0,2,1,9
1,Nnamdi Enechionyia,23,1,6,.167,0,2,.000,1,4,.250,3,3,1.000,2,2,4,2,0,0,1,0,6
2,Davauhnte Turner,22,5,10,.500,2,5,.400,3,5,.600,0,0,,1,2,3,1,1,1,2,3,13
3,Quinn Taylor,22,4,5,.800,4,4,1.000,0,1,.000,2,2,1.000,1,6,7,1,0,0,5,3,10
4,Samuel Idowu,21,3,11,.273,2,6,.333,1,5,.200,0,0,,1,1,2,0,0,2,2,1,7
5,Elijah Gonzales,22,1,7,.143,0,1,.000,1,6,.167,0,0,,0,0,0,3,2,0,0,3,3
6,Julian Powell,18,3,5,.600,3,3,1.000,0,2,.000,1,1,1.000,1,1,2,0,1,2,1,4,7
7,Cameron Jones,18,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0
8,Mamadou Ndiaye,14,2,4,.500,1,2,.500,1,2,.500,1,2,.500,1,2,3,0,0,0,0,3,6
9,Jeremiah Livingston,14,0,1,.000,0,1,.000,0,0,,0,1,.000,0,1,1,1,0,0,1,0,0
