,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Derek Novsek,39,9,20,.450,9,14,.643,0,6,.000,13,15,.867,0,2,2,0,2,0,1,0,31
1,Nick Crankshaw,39,4,9,.444,1,2,.500,3,7,.429,0,0,,0,7,7,4,0,0,2,2,11
2,Hayden Fredrick,38,6,14,.429,2,7,.286,4,7,.571,0,0,,0,1,1,4,1,0,4,5,16
3,Caeden Williams,28,1,4,.250,0,2,.000,1,2,.500,0,0,,0,4,4,1,3,0,3,0,3
4,Jared Nyivih,7,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,1,0
5,Richard Wright,25,4,5,.800,4,5,.800,0,0,,0,2,.000,1,5,6,0,0,1,1,1,8
6,Steven Dreifuss,9,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0
7,Kyle Corbett,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Terrell McKail,4,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0
9,Demitrius Murray,3,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,2
10,Elijah Jackson,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Kevin Zhang,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
