,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Michael Steadman,31,2,5,.400,2,5,.400,0,0,,6,9,.667,3,4,7,0,0,2,5,2,10
1,Craig LeCesne,29,4,7,.571,3,5,.600,1,2,.500,4,5,.800,1,7,8,2,1,0,4,3,13
2,Isaiah Nichols,29,4,6,.667,3,5,.600,1,1,1.000,1,1,1.000,1,2,3,3,2,0,4,4,10
3,Noah Baumann,21,3,7,.429,0,0,,3,7,.429,0,0,,0,1,1,0,0,0,2,0,9
4,Oumar Barry,20,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,3,4,2
5,Brae Ivey,32,5,8,.625,2,3,.667,3,5,.600,9,9,1.000,0,3,3,6,0,0,4,4,22
6,Christian Anigwe,13,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4
7,Ashtin Chastain,13,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2
8,Zach Chappell,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0
9,Brian Rodriguez-Flores,4,0,2,.000,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,Seneca Knight,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
