,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Morgan Means,35,9,18,.500,6,12,.500,3,6,.500,2,2,1.000,1,1,2,5,3,0,3,1,23
1,Myles Carter,35,5,13,.385,5,13,.385,0,0,,2,2,1.000,4,10,14,0,0,7,0,3,12
2,Terrell Brown,33,10,13,.769,10,12,.833,0,1,.000,6,7,.857,2,12,14,6,2,0,1,1,26
3,Matej Kavas,31,3,12,.250,1,4,.250,2,8,.250,4,4,1.000,0,3,3,1,0,0,2,1,12
4,Aaron Nettles,21,4,7,.571,2,2,1.000,2,5,.400,0,0,,0,0,0,0,0,0,2,2,10
5,Trey Hopkins,15,5,5,1.000,3,3,1.000,2,2,1.000,0,1,.000,1,2,3,0,0,0,0,1,12
6,Riley Grigsby,10,2,3,.667,2,3,.667,0,0,,1,2,.500,2,3,5,1,0,2,1,3,5
7,Mattia Da Campo,6,2,2,1.000,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,7
8,Ian Burke,5,0,0,,0,0,,0,0,,0,0,,0,2,2,0,1,0,0,0,0
9,Rip Economou,4,0,1,.000,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0
10,Anand Hundal,3,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0
11,Matt Vail,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
12,Joe Wall,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
