,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Myles Powell,32,6,10,.600,2,3,.667,4,7,.571,0,0,,0,3,3,5,1,1,0,1,16
1,Angel Delgado,29,6,12,.500,6,12,.500,0,0,,2,3,.667,5,8,13,3,2,0,3,1,14
2,Khadeen Carrington,26,3,8,.375,3,5,.600,0,3,.000,7,7,1.000,0,4,4,4,1,0,3,1,13
3,Desi Rodriguez,25,7,10,.700,6,8,.750,1,2,.500,2,3,.667,1,6,7,4,0,1,0,3,17
4,Michael Nzei,22,7,8,.875,7,8,.875,0,0,,0,0,,1,2,3,1,0,0,3,3,14
5,Myles Cale,18,2,5,.400,2,5,.400,0,0,,1,2,.500,0,1,1,1,0,0,1,2,5
6,Sandro Mamukelashvili,15,2,5,.400,2,3,.667,0,2,.000,2,2,1.000,1,2,3,0,1,1,1,4,6
7,Eron Gordon,14,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2
8,Ismael Sanogo,13,1,2,.500,1,2,.500,0,0,,1,1,1.000,0,1,1,1,1,0,0,2,3
9,Shavar Reynolds,3,0,2,.000,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0
10,Philip Flory,3,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0
