,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Christopher Chaney,26,5,11,.455,4,9,.444,1,2,.500,1,2,.500,1,1,2,0,3,0,2,1,12
1,Jaylen Williams,24,1,8,.125,1,6,.167,0,2,.000,0,0,,1,1,2,0,1,0,3,0,2
2,Alan Dabney,22,2,8,.250,0,1,.000,2,7,.286,2,4,.500,3,4,7,2,0,0,3,3,8
3,Avery White,21,2,6,.333,2,3,.667,0,3,.000,1,2,.500,0,2,2,0,0,0,0,3,5
4,Jalyn Jarrett,21,0,3,.000,0,0,,0,3,.000,0,0,,0,4,4,3,1,0,4,0,0
5,Jason Tate,17,4,6,.667,3,3,1.000,1,3,.333,0,0,,0,1,1,0,0,0,1,3,9
6,Alex Horvath,13,1,3,.333,0,1,.000,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3
7,Gustavo Gonzalez,11,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,0,2
8,Harry Wall,11,0,3,.000,0,2,.000,0,1,.000,0,0,,2,1,3,0,2,0,2,0,0
9,Mark Melbourne,10,0,3,.000,0,1,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,0,0
10,Damon Johnson,7,0,1,.000,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1
11,Jason Hutzler,7,0,3,.000,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0
12,Antwan Jarrett,6,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3
13,Luca Delgado,4,0,0,,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0
