,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jalen Pickett,38,6,14,.429,4,7,.571,2,7,.286,1,1,1.000,1,6,7,8,0,0,2,4,15
1,Evan Fisher,35,6,18,.333,6,15,.400,0,3,.000,3,4,.750,1,4,5,0,0,2,1,4,15
2,Kevin Degnan,34,3,5,.600,2,2,1.000,1,3,.333,0,0,,1,7,8,2,0,0,1,2,7
3,Sloan Seymour,32,3,9,.333,0,0,,3,9,.333,0,0,,0,0,0,0,0,0,0,1,9
4,Manny Camper,21,1,5,.200,1,4,.250,0,1,.000,1,2,.500,0,4,4,0,0,0,1,3,3
5,Kadeem Smithen,35,3,8,.375,1,3,.333,2,5,.400,0,0,,1,1,2,3,3,0,0,1,8
6,Thomas Huerter Jr.,2,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
7,Jimmy Ratliff,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
8,Paulo Morastoni,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
9,Braedon Bayer,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
