,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Aaron Porcil,29,5,7,.714,3,5,.600,2,2,1.000,1,1,1.000,0,0,0,2,2,0,2,2,13
1,Lewayne Grant,28,2,7,.286,2,6,.333,0,1,.000,0,2,.000,1,4,5,1,0,0,2,3,4
2,Isaac Davidson,27,2,10,.200,2,8,.250,0,2,.000,2,2,1.000,0,2,2,1,0,0,1,0,6
3,Wesley Gilbert,24,4,7,.571,4,7,.571,0,0,,6,8,.750,2,1,3,2,1,1,2,3,14
4,Deshawnte Collins,17,2,4,.500,1,3,.333,1,1,1.000,0,1,.000,1,4,5,1,2,0,1,3,5
5,Jordan Hickman,19,1,7,.143,1,7,.143,0,0,,4,5,.800,4,2,6,2,0,0,1,1,6
6,Nick Klarman,18,0,4,.000,0,1,.000,0,3,.000,0,0,,0,4,4,1,0,1,0,1,0
7,Armani Nicolis,14,1,5,.200,1,3,.333,0,2,.000,2,2,1.000,0,1,1,0,0,0,1,0,4
8,Brandon Tillis,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,0,2
9,Mason Phillips,7,0,4,.000,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,3,0
10,Kenny Olsem,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Isaiah Usher,4,0,2,.000,0,2,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,1,0
