,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Trhae Mitchell,36,7,13,.538,6,11,.545,1,2,.500,7,10,.700,3,3,6,3,0,1,4,4,22
1,R.J. Kelly,33,0,3,.000,0,2,.000,0,1,.000,0,0,,2,2,4,2,1,0,3,5,0
2,Kory Holden,28,4,11,.364,0,5,.000,4,6,.667,2,2,1.000,0,1,1,4,0,0,3,2,14
3,Josh Ajayi,19,6,8,.750,5,7,.714,1,1,1.000,1,1,1.000,0,3,3,0,1,0,5,5,14
4,Rodrick Sikes,14,2,6,.333,1,2,.500,1,4,.250,0,1,.000,0,1,1,0,0,0,1,1,5
5,Kevin Morris,18,3,3,1.000,3,3,1.000,0,0,,0,0,,2,2,4,0,0,0,1,4,6
6,Jordan Andrews,17,0,3,.000,0,0,,0,3,.000,0,0,,0,1,1,1,0,0,0,2,0
7,Herb McGee,16,0,4,.000,0,1,.000,0,3,.000,0,0,,0,0,0,2,1,0,0,5,0
8,John Pettway,14,0,0,,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,1,0
9,Abdul Dial,5,0,4,.000,0,0,,0,4,.000,1,2,.500,2,0,2,1,0,0,1,1,1
