,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Damni Applewhite,31,6,16,.375,6,15,.400,0,1,.000,4,4,1.000,1,3,4,2,0,1,0,2,16
1,Janai Raynor-Powell,27,3,7,.429,1,4,.250,2,3,.667,2,3,.667,1,0,1,3,0,0,2,1,10
2,Rayshawn Neal,22,0,2,.000,0,1,.000,0,1,.000,1,2,.500,2,3,5,2,1,1,4,3,1
3,Ian Kinard,17,0,3,.000,0,3,.000,0,0,,0,0,,1,4,5,0,0,0,2,3,0
4,Aramani Hill,7,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,3,2,2
5,Ozante Fields,26,6,6,1.000,6,6,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,1,3,13
6,Allen Hatchett Jr.,18,2,4,.500,2,2,1.000,0,2,.000,0,0,,0,2,2,3,2,3,1,0,4
7,Jahmari Etienne,17,1,8,.125,0,3,.000,1,5,.200,0,0,,0,0,0,0,0,0,0,0,3
8,Fred Slater,9,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0
9,David Bottenberg,8,0,0,,0,0,,0,0,,3,4,.750,0,1,1,0,0,0,1,1,3
10,Dwayne Banks,7,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0
11,Lavar Harewood,6,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0
12,Savion Dawkins,5,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3
