,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Alexis Yetna,32,5,11,.455,4,10,.400,1,1,1.000,2,6,.333,7,11,18,2,1,0,1,1,13
1,Laquincy Rideau,30,8,10,.800,7,7,1.000,1,3,.333,1,3,.333,1,4,5,3,3,0,3,4,18
2,David Collins,27,0,5,.000,0,3,.000,0,2,.000,5,10,.500,0,4,4,4,2,1,3,4,5
3,T.J. Lang,23,2,6,.333,0,2,.000,2,4,.500,1,1,1.000,1,0,1,0,0,0,2,4,7
4,Michael Durr,17,3,6,.500,3,6,.500,0,0,,1,1,1.000,3,2,5,1,0,1,3,3,7
5,Xavier Castaneda,21,4,8,.500,4,8,.500,0,0,,4,4,1.000,0,3,3,2,0,0,1,2,12
6,Justin Brown,21,3,7,.429,2,4,.500,1,3,.333,0,1,.000,2,0,2,0,1,0,0,0,7
7,Antun Maricevic,19,1,5,.200,0,4,.000,1,1,1.000,0,0,,2,0,2,0,1,0,1,3,3
8,Mayan Kiir,10,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,0,4,4,1,0,0,2,3,4
9,Rashun Williams,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
