,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marlain Veal,37,2,12,.167,2,9,.222,0,3,.000,15,16,.938,0,2,2,2,0,0,3,3,19
1,Von Julien,37,3,4,.750,3,4,.750,0,0,,2,2,1.000,0,2,2,2,0,0,3,1,8
2,Moses Greenwood,34,5,12,.417,5,12,.417,0,0,,5,5,1.000,3,8,11,1,2,3,2,4,15
3,Brandon Gonzalez,28,2,4,.500,1,2,.500,1,2,.500,2,2,1.000,1,5,6,0,0,0,0,0,7
4,Keith Charleston,27,4,9,.444,3,8,.375,1,1,1.000,5,6,.833,2,5,7,0,0,2,3,3,14
5,Kajon Brown,12,0,1,.000,0,1,.000,0,0,,2,2,1.000,0,0,0,2,1,0,0,1,2
6,Tyron Brewer,10,1,4,.250,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,2,2,2
7,Pape Diop,9,2,3,.667,1,2,.500,1,1,1.000,0,0,,2,0,2,0,0,0,0,2,5
8,Jeremiah Saunders,6,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
9,Parker Edwards,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
10,D'Angelo West,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
