,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Jordan McLaughlin,26,5,9,.556,5,8,.625,0,1,.000,2,3,.667,1,5,6,6,3,1,2,0,12
1,Bennie Boatwright,25,4,10,.400,2,4,.500,2,6,.333,3,6,.500,0,6,6,2,0,3,2,3,13
2,Chimezie Metu,23,7,14,.500,5,12,.417,2,2,1.000,2,2,1.000,5,5,10,1,0,2,1,0,18
3,Jonah Mathews,22,3,9,.333,2,5,.400,1,4,.250,4,5,.800,0,3,3,0,0,0,0,0,11
4,Elijah Stewart,21,2,5,.400,1,3,.333,1,2,.500,1,1,1.000,1,1,2,0,1,1,1,2,6
5,Derryck Thornton,20,4,9,.444,1,5,.200,3,4,.750,0,0,,0,4,4,0,1,0,3,1,11
6,Shaqquan Aaron,15,3,6,.500,2,4,.500,1,2,.500,0,0,,0,3,3,1,1,0,0,5,7
7,Jordan Usher,15,0,2,.000,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,1,2,3,0
8,Nick Rakocevic,13,0,0,,0,0,,0,0,,1,2,.500,1,2,3,0,0,1,0,5,1
9,"Charles O'Bannon, Jr.",9,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,1,2,0
10,Victor Uyaelunmo,4,0,0,,0,0,,0,0,,4,4,1.000,1,1,2,0,0,0,0,1,4
11,Harrison Henderson,4,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0
12,Kurt Karis,2,0,0,,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,1,1,1
13,Devin Fleming,1,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0
