,Name,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Tyrese Williford,40,10,17,.588,9,13,.692,1,4,.250,3,5,.600,3,1,4,4,1,0,7,2,24
1,Cameron Williams,39,10,18,.556,8,10,.800,2,8,.250,0,2,.000,0,2,2,0,4,0,2,2,22
2,Brandon Jackson,31,3,5,.600,3,5,.600,0,0,,3,4,.750,3,4,7,0,0,0,4,5,9
3,Anselm Uzuegbunem,23,2,4,.500,2,3,.667,0,1,.000,2,4,.500,4,2,6,2,0,0,0,4,6
4,David McFarland,19,1,5,.200,1,3,.333,0,2,.000,0,0,,0,4,4,0,0,0,0,4,2
5,Daniel Kinchen,19,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,1,0,0,1,0,3
6,Christian Ellis,17,1,3,.333,1,3,.333,0,0,,0,0,,0,7,7,1,0,0,0,2,2
7,Treavon Martin,15,0,1,.000,0,1,.000,0,0,,0,0,,0,3,3,1,1,1,1,5,0
8,Jaylin McCoy,13,0,4,.000,0,1,.000,0,3,.000,0,0,,1,1,2,1,1,0,0,1,0
9,D.J. Jackson,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
10,Elochukwu Eze,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
11,Bill Awet,2,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2
